Job,Injury,LogCD,CD,Y,P
1,0,-3.731857153,0.023948319,-2.098148539,0.109276904
2,0,-3.394486253,0.03355779,-1.752714475,0.14770515
3,0,-3.353532011,0.034960654,-1.710781426,0.153062389
4,0,-3.333802177,0.035657272,-1.690580049,0.155699573
5,0,-3.261706296,0.038322952,-1.616761077,0.165652042
6,0,-3.24004041,0.039162313,-1.594577375,0.168740867
7,0,-3.176966296,0.041712005,-1.529995791,0.177994302
8,0,-3.108301096,0.044676792,-1.459689492,0.188514821
9,1,-3.085395415,0.045711955,-1.436236365,0.192128846
10,0,-3.038445903,0.047909287,-1.38816476,0.199700904
11,0,-3.02318517,0.048646025,-1.372539296,0.202209895
12,0,-3.016871096,0.048954152,-1.366074315,0.20325484
13,0,-2.993845903,0.050094408,-1.34249882,0.207099429
14,0,-2.978720009,0.05085789,-1.327011417,0.209654142
15,0,-2.974056301,0.05109563,-1.322236246,0.210446481
16,0,-2.963854651,0.051619558,-1.311790778,0.212187337
17,0,-2.948657499,0.052410019,-1.296230413,0.214800116
18,0,-2.944848872,0.05261001,-1.29233076,0.215458567
19,0,-2.938421986,0.052949217,-1.285750271,0.21657299
20,0,-2.931948745,0.053293082,-1.27912232,0.217699661
21,0,-2.923990022,0.053718919,-1.270973383,0.21909067
22,1,-2.920798745,0.053890625,-1.267705835,0.219650228
23,1,-2.908569996,0.054553686,-1.255184819,0.221803912
24,1,-2.907418745,0.054616527,-1.254006053,0.222007442
25,0,-2.902741986,0.054872554,-1.249217519,0.222835619
26,0,-2.893980009,0.055355458,-1.240246131,0.224393146
27,0,-2.888499996,0.05565964,-1.234635146,0.225371197
28,0,-2.884339496,0.055891694,-1.23037521,0.226115762
29,0,-2.879579996,0.056158345,-1.225501958,0.226969658
30,0,-2.872652532,0.05654873,-1.218408928,0.228216571
31,1,-2.864831986,0.056992706,-1.21040147,0.229630023
32,0,-2.851458767,0.057760001,-1.196708631,0.23206125
33,1,-2.843847499,0.058201305,-1.188915454,0.233452962
34,1,-2.820211982,0.059593309,-1.164715048,0.237811592
35,0,-2.81778157,0.059738321,-1.16222655,0.238262945
36,0,-2.802550009,0.060655194,-1.146630954,0.241104991
37,0,-2.80039875,0.060785819,-1.14442828,0.241508252
38,0,-2.797282006,0.060975569,-1.141237046,0.24209331
39,0,-2.793688745,0.061195064,-1.137557906,0.242769014
40,0,-2.786940009,0.06160945,-1.130647875,0.244041558
41,0,-2.771388745,0.062575044,-1.114724936,0.246991064
42,0,-2.758740237,0.063371551,-1.101774128,0.249407624
43,0,-2.75575196,0.063561206,-1.098714432,0.249980849
44,1,-2.747800017,0.064068656,-1.090572438,0.2515105
45,0,-2.74687875,0.064127708,-1.089629152,0.251688118
46,0,-2.740900237,0.064512244,-1.083507752,0.252842781
47,0,-2.7403711,0.064546389,-1.08296597,0.252945145
48,0,-2.73572875,0.064846733,-1.078212667,0.253844402
49,0,-2.72046828,0.065843914,-1.062587472,0.256815296
50,1,-2.714011921,0.066270401,-1.055976806,0.258079043
51,0,-2.69781875,0.067352265,-1.039396618,0.261266434
52,0,-2.697149235,0.067397373,-1.038711102,0.261398764
53,0,-2.680345356,0.06853948,-1.02150561,0.26473423
54,0,-2.67551875,0.068871092,-1.016563648,0.265697301
55,0,-2.67328875,0.069024846,-1.014280351,0.266143015
56,0,-2.667249467,0.069442968,-1.00809673,0.267352489
57,0,-2.660987499,0.069879182,-1.0016851,0.26861024
58,0,-2.65767875,0.070110778,-0.998297272,0.26927633
59,0,-2.650741549,0.070598841,-0.991194272,0.270676251
60,0,-2.637687491,0.071526484,-0.977828222,0.273322924
61,1,-2.63760875,0.071532116,-0.977747599,0.273338938
62,0,-2.630997491,0.0720066,-0.970978331,0.274685543
63,1,-2.622940022,0.072589135,-0.962728288,0.276332279
64,0,-2.60677157,0.073772329,-0.94617341,0.279655031
65,0,-2.59785157,0.074433321,-0.937040222,0.281498591
66,0,-2.597240043,0.074478853,-0.93641408,0.28162525
67,0,-2.59639,0.07454219,-0.935543721,0.281801368
68,0,-2.580570022,0.075730824,-0.919345645,0.285091242
69,0,-2.576220714,0.076060917,-0.914892389,0.285999747
70,0,-2.573883572,0.076238891,-0.91249939,0.286488657
71,0,-2.568266082,0.076668367,-0.906747641,0.287665831
72,0,-2.566392401,0.076812154,-0.90482918,0.288059111
73,0,-2.561202121,0.077211867,-0.899514851,0.289150206
74,0,-2.55548157,0.077654827,-0.893657579,0.290355609
75,0,-2.551816245,0.077939979,-0.889904653,0.291129504
76,0,-2.551737504,0.077946117,-0.88982403,0.291146143
77,0,-2.545592121,0.0784266,-0.883531772,0.292446444
78,1,-2.52649157,0.079938989,-0.863974718,0.296509583
79,0,-2.525950727,0.079982235,-0.863420949,0.296625107
80,0,-2.5218311,0.080312412,-0.859202864,0.297505917
81,1,-2.518838006,0.080553155,-0.856138234,0.29814681
82,0,-2.514857315,0.080874451,-0.852062405,0.2990004
83,0,-2.48858157,0.083027652,-0.825158669,0.304669716
84,0,-2.46936613,0.084638492,-0.80548398,0.308853666
85,1,-2.469145162,0.084657196,-0.805257731,0.308901964
86,0,-2.466843572,0.084852267,-0.802901134,0.309405281
87,1,-2.458654072,0.085550018,-0.794515904,0.311199841
88,1,-2.453558767,0.085987034,-0.789298821,0.312319246
89,0,-2.451419455,0.086171184,-0.78710838,0.312789893
90,0,-2.443540013,0.086852846,-0.779040619,0.314526691
91,1,-2.43913875,0.087235951,-0.774534166,0.315499092
92,1,-2.43909196,0.087240033,-0.774486258,0.315509439
93,1,-2.43669199,0.087449658,-0.772028929,0.316040372
94,0,-2.430292164,0.088011115,-0.765476146,0.317458518
95,1,-2.427968745,0.08821584,-0.763097198,0.317974209
96,0,-2.426755157,0.088322962,-0.761854606,0.318243747
97,1,-2.40122875,0.090606552,-0.735718117,0.323941182
98,0,-2.382103572,0.092356095,-0.716135848,0.328244462
99,0,-2.381178754,0.092441547,-0.715188926,0.328453293
100,1,-2.380292011,0.092523556,-0.71428099,0.328653589
101,1,-2.356326296,0.094767733,-0.689742495,0.334090359
102,1,-2.342058767,0.096129526,-0.675133971,0.337348214
103,0,-2.341117495,0.096220053,-0.674170203,0.337563692
104,1,-2.339013542,0.096422708,-0.672015966,0.338045579
105,1,-2.337826094,0.096537273,-0.670800137,0.3383177
106,0,-2.293519235,0.100910708,-0.625434345,0.348546506
107,0,-2.287666748,0.101503018,-0.619441984,0.349908374
108,1,-2.28749875,0.101520072,-0.61926997,0.349947504
109,0,-2.279576069,0.102327577,-0.611157937,0.351795102
110,0,-2.276447495,0.102648218,-0.60795459,0.352525925
111,0,-2.247246932,0.105689796,-0.578056134,0.35938
112,0,-2.240630017,0.106391455,-0.571281075,0.360941276
113,0,-2.229538754,0.107578039,-0.55992473,0.363564876
114,0,-2.214002011,0.109262503,-0.544016659,0.367253701
115,1,-2.173666403,0.113759762,-0.50271703,0.376902369
116,1,-2.130299996,0.118801649,-0.458314166,0.387385827
117,0,-2.113657495,0.120795349,-0.441273909,0.391437464
118,0,-2.100005406,0.122455766,-0.427295535,0.394772317
119,1,-2.094919496,0.123080152,-0.422088072,0.396017201
120,0,-2.091220017,0.123536327,-0.418300176,0.396923575
121,1,-2.088877508,0.123826052,-0.41590168,0.397497857
122,1,-2.072188758,0.125909894,-0.39881407,0.401597306
123,1,-2.069818717,0.126208659,-0.396387385,0.402180618
124,0,-2.056551973,0.127894193,-0.382803565,0.40545089
125,1,-2.023168767,0.132235776,-0.3486225,0.413716501
126,1,-2.021070004,0.132513599,-0.346473577,0.41423783
127,1,-2.00955541,0.134048258,-0.334683785,0.417101425
128,0,-1.981961964,0.137798616,-0.306430855,0.423986165
129,0,-1.979740022,0.138105137,-0.304155808,0.424541877
130,0,-1.930792011,0.145033285,-0.25403794,0.436829875
131,1,-1.929447175,0.145228462,-0.252660962,0.437168654
132,0,-1.928354827,0.145387189,-0.251542507,0.437443872
133,1,-1.898538391,0.14978739,-0.221013458,0.444970455
134,1,-1.88832875,0.151324499,-0.210559807,0.447553674
135,1,-1.88163875,0.152340254,-0.203709916,0.449247908
136,0,-1.879487491,0.15266833,-0.201507242,0.449792964
137,0,-1.868318763,0.154382998,-0.190071581,0.452624647
138,1,-1.845938745,0.157877045,-0.167156681,0.458307862
139,1,-1.841005737,0.158657778,-0.162105774,0.459562071
140,0,-1.830782177,0.160288145,-0.151637871,0.462163007
141,0,-1.799545675,0.165374005,-0.119654817,0.470121935
142,0,-1.782310039,0.168249036,-0.102007249,0.474520278
143,0,-1.780256249,0.168594939,-0.099904373,0.47504466
144,0,-1.690994937,0.18433603,-0.008509716,0.497872584
145,1,-1.676895675,0.18695344,0.005926518,0.501481625
146,1,-1.670320922,0.188186663,0.012658408,0.50316456
147,0,-1.666526249,0.188902126,0.016543774,0.504135849
148,1,-1.65233157,0.191602653,0.031077706,0.507768801
149,0,-1.58600717,0.20474148,0.098987258,0.524726628
150,0,-1.542620013,0.213820155,0.143411369,0.53579152
151,1,-1.522628754,0.218137702,0.163880419,0.540878657
152,1,-1.474600714,0.228870093,0.213056329,0.553063508
153,0,-1.464745608,0.231136783,0.223146972,0.5555564
154,0,-1.452193572,0.234056305,0.235999001,0.558727432
155,0,-1.427680026,0.239864757,0.261098421,0.564906289
156,0,-1.418658717,0.242038441,0.270335339,0.567175228
157,1,-1.404166665,0.245571615,0.285173752,0.570814179
158,1,-1.398508625,0.246965007,0.290967019,0.572232859
159,0,-1.396280165,0.247515972,0.293248739,0.572791291
160,0,-1.384427491,0.250467154,0.305384692,0.575758319
161,1,-1.381334105,0.251243145,0.30855201,0.576531784
162,1,-1.357568745,0.257285544,0.332885362,0.582461264
163,1,-1.35535875,0.257854773,0.335148176,0.583011478
164,0,-1.349958754,0.259250954,0.340677232,0.584355021
165,1,-1.334422011,0.263310322,0.356585303,0.588213582
166,1,-1.280650727,0.277856433,0.411641721,0.601481467
167,1,-1.272028319,0.280262583,0.420470204,0.60359576
168,1,-1.256104814,0.284761066,0.436774281,0.607490139
169,1,-1.25500875,0.285073354,0.437896541,0.607757705
170,1,-1.249490004,0.28665095,0.443547185,0.609103928
171,1,-1.208277495,0.298711368,0.485744673,0.619103475
172,1,-1.192541964,0.303448927,0.501856283,0.622895465
173,0,-1.192490009,0.303464693,0.50190948,0.622907961
174,1,-1.168455675,0.310846619,0.526518234,0.62867068
175,1,-1.132129157,0.3223462,0.563712956,0.637311211
176,1,-1.099047504,0.333188293,0.597585261,0.645103658
177,0,-1.094941123,0.334559304,0.601789785,0.646065674
178,1,-1.01639875,0.361895874,0.68220932,0.664231616
179,1,-0.970815012,0.378774207,0.72888251,0.674559999
180,1,-0.948460009,0.38733706,0.751771797,0.679564642
181,1,-0.887236236,0.411792278,0.814458818,0.693058837
182,1,-0.871547495,0.418303725,0.83052252,0.696465403
183,1,-0.844203308,0.429899719,0.858520233,0.702351396
184,0,-0.815718754,0.442321293,0.887685568,0.708412324
185,0,-0.813885675,0.443132846,0.889562457,0.708799871
186,0,-0.78666196,0.455362279,0.917436819,0.714519552
187,1,-0.775266656,0.460580948,0.929104471,0.716893567
188,1,-0.764912793,0.465374513,0.939705792,0.719040225
189,1,-0.764507495,0.465563167,0.940120776,0.719124053
190,1,-0.763327524,0.466112842,0.941328948,0.71936802
191,0,-0.746241618,0.474145227,0.958823207,0.72288613
192,0,-0.71311875,0.490113271,0.992737712,0.729628333
193,1,-0.629872893,0.532659501,1.077973145,0.746110228
194,1,-0.611365415,0.542609476,1.096922952,0.749683116
195,1,-0.61092157,0.542850364,1.097377405,0.749768388
196,1,-0.552400727,0.575566373,1.157296896,0.7608412
197,1,-0.517918767,0.595759172,1.192602975,0.767206281
198,1,-0.459978776,0.631297044,1.251927732,0.777633382
199,1,-0.438790017,0.644816166,1.273622901,0.781362298
200,1,-0.326377082,0.721533059,1.388722506,0.80038822
201,1,-0.31171875,0.732187427,1.403731172,0.802775302
202,0,-0.27380875,0.760477503,1.442547221,0.808848793
203,1,-0.207325675,0.812754913,1.510619241,0.81915296
204,1,-0.09094875,0.913064505,1.629777575,0.836139167
205,1,-0.08648875,0.917145867,1.634344169,0.836763878
206,1,-0.040698767,0.960118306,1.681228533,0.843067141
207,1,-0.027377504,0.972993864,1.694868174,0.8448633
208,1,0.003999978,1.004007989,1.726995578,0.849027718
209,1,0.021843579,1.022083897,1.745265641,0.851354665
210,1,0.03947,1.040259291,1.763313333,0.853624146
211,1,0.163542655,1.177675588,1.890351324,0.868795583
212,1,0.174448036,1.190588873,1.901517344,0.870063163
213,1,0.200141233,1.221575273,1.927824609,0.873008441
214,0,0.201239987,1.222918221,1.928949623,0.873133113
215,1,0.638203487,1.893076886,2.376356551,0.915006513
216,1,0.651995821,1.919367723,2.390478521,0.916098356
217,1,0.689319235,1.992358744,2.428693965,0.918989354
218,0,0.747114325,2.110899847,2.487870357,0.9232871
219,1,0.871111418,2.389565184,2.614830981,0.931809998
220,1,0.889159277,2.433083243,2.633310184,0.932974841
221,1,0.952749987,2.592830113,2.698420712,0.936933389
222,1,1.046252505,2.846962126,2.79415794,0.942359313
223,1,1.112172501,3.040957706,2.861653424,0.945917946
224,0,1.15488707,3.173664994,2.905388871,0.948112186
225,1,1.28234843,3.60509611,3.035896558,0.95416972
226,1,1.379829961,3.974225797,3.135707897,0.958341865
227,1,1.380889983,3.978440796,3.136793253,0.958385174
228,1,1.44350801,4.235528059,3.200907851,0.960868427
229,0,1.665192496,5.286690821,3.427890597,0.968564906
230,1,1.727539991,5.626794905,3.491728197,0.970451493
231,1,1.782322475,5.943644365,3.547819982,0.972018193
232,1,2.289846423,9.87342123,4.067473752,0.983167596
233,1,2.544494325,12.73678578,4.328207739,0.986980573
234,1,2.665192496,14.37071559,4.451790597,0.988476661
235,1,4.300992483,73.77297583,6.126686204,0.997820953
